age,workclass,education.num,marital.status,occupation,relationship,sex,capital.gain,capital.loss,hours.per.week,income
31.0,private,10.0,married-civ-spouse,machine-op-inspct,husband,male,0.0,0.0,40.0,<=50K
31.0,private,9.0,married-civ-spouse,craft-repair,husband,male,0.0,0.0,40.0,<=50K
37.0,private,9.0,married-civ-spouse,other-service,husband,male,0.0,0.0,40.0,>50K
19.0,federal-gov,10.0,never-married,adm-clerical,own-child,female,0.0,0.0,10.0,<=50K
54.0,federal-gov,9.0,widowed,adm-clerical,unmarried,female,0.0,0.0,35.0,<=50K
27.0,private,13.0,married-civ-spouse,prof-specialty,husband,male,0.0,0.0,42.0,>50K
26.0,private,9.0,never-married,craft-repair,own-child,male,0.0,0.0,40.0,<=50K
54.0,local-gov,10.0,never-married,prof-specialty,not-in-family,female,0.0,0.0,40.0,<=50K
30.0,private,10.0,married-civ-spouse,craft-repair,husband,male,0.0,1740.0,40.0,<=50K
20.0,private,10.0,never-married,tech-support,own-child,male,0.0,0.0,15.0,<=50K
38.0,private,14.0,married-civ-spouse,prof-specialty,husband,male,99999.0,0.0,65.0,>50K
34.0,private,13.0,never-married,sales,not-in-family,male,0.0,0.0,65.0,>50K
39.0,private,9.0,married-civ-spouse,craft-repair,husband,male,0.0,0.0,35.0,<=50K
23.0,private,9.0,never-married,sales,own-child,male,0.0,0.0,40.0,<=50K
32.0,private,10.0,never-married,sales,own-child,male,0.0,0.0,35.0,<=50K
44.0,private,10.0,divorced,exec-managerial,not-in-family,female,0.0,0.0,50.0,<=50K
32.0,private,9.0,divorced,craft-repair,own-child,male,0.0,0.0,40.0,<=50K
38.0,private,10.0,never-married,sales,own-child,female,0.0,0.0,50.0,<=50K
19.0,private,10.0,never-married,sales,own-child,male,0.0,0.0,35.0,<=50K
26.0,private,9.0,married-civ-spouse,prof-specialty,husband,male,0.0,0.0,50.0,<=50K
56.0,private,13.0,married-civ-spouse,exec-managerial,husband,male,4508.0,0.0,40.0,<=50K
23.0,private,9.0,never-married,other-service,unmarried,female,0.0,0.0,35.0,<=50K
38.0,private,9.0,divorced,machine-op-inspct,other-relative,female,0.0,0.0,40.0,<=50K
22.0,unknown,4.0,never-married,unknown,own-child,male,0.0,0.0,40.0,<=50K
43.0,private,9.0,married-civ-spouse,machine-op-inspct,husband,male,0.0,0.0,40.0,<=50K
37.0,private,7.0,divorced,handlers-cleaners,other-relative,male,0.0,1721.0,40.0,<=50K
45.0,private,13.0,married-civ-spouse,exec-managerial,husband,male,7688.0,0.0,50.0,>50K
49.0,private,10.0,married-civ-spouse,craft-repair,husband,male,0.0,1485.0,40.0,>50K
31.0,federal-gov,10.0,never-married,tech-support,not-in-family,male,0.0,0.0,40.0,<=50K
28.0,state-gov,13.0,never-married,tech-support,own-child,male,0.0,0.0,20.0,<=50K
43.0,private,3.0,married-civ-spouse,machine-op-inspct,wife,female,0.0,0.0,40.0,>50K
40.0,private,15.0,never-married,prof-specialty,not-in-family,female,14084.0,0.0,50.0,>50K
27.0,private,14.0,never-married,exec-managerial,not-in-family,female,0.0,0.0,25.0,<=50K
43.0,private,9.0,divorced,transport-moving,not-in-family,male,0.0,0.0,60.0,<=50K
32.0,private,10.0,married-civ-spouse,handlers-cleaners,husband,male,0.0,0.0,38.0,<=50K
23.0,state-gov,10.0,never-married,prof-specialty,not-in-family,male,0.0,0.0,40.0,<=50K
41.0,self-emp-inc,13.0,married-civ-spouse,exec-managerial,husband,male,0.0,0.0,35.0,>50K
27.0,private,13.0,married-civ-spouse,sales,husband,male,0.0,0.0,50.0,<=50K
38.0,private,10.0,divorced,adm-clerical,unmarried,female,0.0,0.0,40.0,<=50K
46.0,private,15.0,never-married,exec-managerial,not-in-family,male,0.0,0.0,50.0,>50K
45.0,private,13.0,married-civ-spouse,exec-managerial,husband,male,0.0,0.0,40.0,>50K
